field_identifier,name,field_alternate_name,field_name_arabic,field_alternate_name_arabic,field_cat_date_begin,field_cat_date_end,field_biography,field_affiliated_country,field_occupation,field_affiliated_language,field_facebook_id,field_facebook_title,field_twitter_id,field_twitter_title,field_instagram_id,field_instagram_title,field_youtube_channel_id,field_youtube_channel_id_title
000a28,Munira Thabit,,منيرة ثابت,,,,"Munira Thabit was an Egyptian journalist and activist. Born and raised in Alexandria, she became the first woman to enroll in the French Law School of Cairo in 1925 and subsequently earned her law degree in Paris in 1933, going on to become the first woman lawyer in Egypt, although she was only allowed to practice in the Egyptian Mixed Court. Thabit was also a prominent journalist, founding the French-language magazine L’Espoir in 1925 and periodical Al-Amal in 1926; she also published numerous articles for various international publications on matters pertaining to Arab sociopolitical affairs, legal matters, and women’s rights. She died in Cairo in 1967. <br><b>Awards</b><br>",Egypt,Journalist,English|French|Arabic,,,,,,,,
000a29,Amina al-Lawwa,,آمنة اللوه,أمينة اللوه,,,"Amina al-Lawwa is a Moroccan short-story writer and playwright. Born in al-Hasima and raised in Tetouan, she earned her BA, MA, and PhD from Madrid University in 1957, 1965, and 1968, respectively. Although she initially began her career working as a second-school teacher, she eventually went on to teach at Muhammad V University in Rabat as a research professor in the humanities, publishing articles and essays in numerous journals, newspapers, and magazines. Al-Lawwa has also led a successful career in creative writing, having earned renown for her short stories and novellas. <br><b>Awards</b><br>",Morocco,Short Story Writer|Playwright,Arabic,,,,,,,,
000a30,Najiba al-`Aasal,,نجيبة العسال,,,,"Najiba al-`Aasal was an Egyptian novelist and short story writer. Born in Cairo, she was prevented from completing her education due to the conservatism of her strict father, and was married off at a young age. However, her first marriage soon crumbled, and Al-`Aasal later married another man who she loved and gave her the freedom to pursue a career as she wished. As such, she went on to write numerous novels and short stories, alongside hosting two popular radio programs, and, with Ihsan Kamal and Huda Jad, founded a weekly literary salon for young writers at Dar al-Udaba'. She was also a member of the Committee for Cultural Integration in the Authors' Association and a member of the Artists' Association. Al-`Aasal passed away in 1992 in Cairo. <br><b>Awards</b><br>",Egypt,Novelist|Short Story Writer,Arabic,,,,,,,,
000a31,Sayza Nabrawi,Saiza Nabarawi,سيزا نبراوي,,,,"Sayza Nabrawi was an Egyptian journalist and activist. Born in Qasr al-Minshawi, she spent her early life in Paris with her foster parents before returning to Alexandria, where she completed her education. Here, she was taken under the wing of Huda Sha’rawi, a friend of her foster mother and pioneer of the Egyptian feminist movement, who honed Nabrawi into a strong-willed activist. Together, Nabrawi and Sha’rawi founded the Egyptian Feminist Union, and Nabrawi became the leading writer of L’Egyptienne, the union’s magazine. Nabrawi also wrote numerous articles and essays for other Egyptian newspapers and magazines, championing the cause of women’s rights and feminist liberation through her work. She died in 1985. <br><b>Awards</b><br>",Egypt,Journalist|Activist,Arabic,,,,,,,,
000a32,Rose al-Yusuf,Fatma al-Yusuf,روز اليوسف,فاطمة اليوسف,,,"Rose al-Yusuf was a Lebanese-Egyptian journalist. Born in Tripoli as Fatma, she moved to Egypt with her father at the age of 10 and lived with the family of Iskandar Farah, an actor who influenced al-Yusuf to pursue the acting profession as well. As such, during her teenage years, al-Yusuf began appearing on the stage as part of different acting troupes, earning praise both domestically and internationally. However, al-Yusuf eventually abandoned acting to pursue a career in journalism, founding the news magazine Rose al-Yusuf in 1925. The magazine earned popularity for its candid approach to taboo topics, earning al-Yusuf the title of the first woman journalist in the Arab world. Al-Yusuf enjoyed such popularity for the rest of her career; she passed away in 1958 at the age of 57. <br><b>Awards</b><br>",Lebanon|Egypt,Journalist,Arabic,,,,,,,,
000a33,Emily Nasralla,Emily Abi Rashed|Emily Daoud Nasrallah,إيميلي نصر الله‎,إيميلي داود نصر الله‎|إيميلي أبو راشد,,,"Emily Nasrallah was a Lebanese writer and activist. Born in the village of Kaukaba and raised in al-Kfeir, she earned her BA in Education from the American University of Beirut in 1958 and began experimenting with creative writing while studying, writing on themes such as Lebanese village life, family roots, belonging, and the struggle for women’s rights. Nasrallah wrote numerous articles and essays for various Arab-language magazines and newspapers over the course of her career, though she earned most renown for her novels; she passed away in Beirut in 2018 at the age of 86. <br><b>Awards</b><br>",Lebanon,Novelist|Journalist|Children's Writer,English|Arabic,,facebook,,,,,,
000a34,Asma Tubi,,أسمى طوبي,أسماء طوبي|أسمى رزق طوبي,,,"Asma Tubi was a Palestinian writer. Born in Nazareth, she moved to Acre following her marriage and was a prominent women’s rights activist there, serving as the president of the Arab Women's Union, leader of the Orthodox Young Women's Association, and a member of the Young Christian Women's Association. She wrote a number of poems, plays, and works of fiction over the course of her career, alongside serving as an editor of various Palestinian newspapers and magazines and as a radio host. She passed away in Beirut in 1983. <br><b>Awards</b><br>",Palestine,Poet|Playwright|Essayist|Short Story Writer|,English|Arabic,,,,,,,,
000a35,Najwa Kawar Farah,Najwa Qa'war Farah,نجوى قعوار فرح,,,,"Najwa Kawar Farah was a Palestinian novelist journalist, essayist and playwright born in Nazareth. She attended school in Nazareth and later attended the Teachers' Academy in Jerusalem, returning to Nazareth to work as a teacher following the completion of her education. She moved to Canada with her family in 1998<br><b>Awards</b><br>",Palestine|Canada,Novelist|Short Story Writer|Playwright|Writer,Arabic,,facebook,,,,,,
000a36,Layla Ussayran,Layla `Ussayran,ليلى عسيران,,,,"Layla `Ussayran was a Lebanese novelist born in Sidon who received a Bachelors of Arts from the American University of Beirut. She worked for the Lebanese publisher, Dar al-Sayyad, and was a correspondent for the Cairo-based news magazine, Rose al-Yusuf.aUssayran published numerous novels over the course of her life, many of which earned renown domestically and internationally.<br><b>Awards</b><br>",Lebanon,Novelist|,Arabic,,,,,,,,
000a37,Zaynab Muhammed,,زينب محمد,,,,Zaynab Muhammad is an Egyptian novelist and literary pioneer.<br><b>Awards</b><br>,Egypt,Novelist,Arabic,,,,,,,,
000a38,Samira Azzam,,سميرة عزام,,,,"Samira Azzam was a Palestinian writer, broadcaster, and translator. Born in Akka, she began working as a schoolteacher there at the age of 16, despite having no formal training, and was later appointed headmistress of a girls’ school. Under the pen name Fatat al-Sahel, she also became an occasional contributor of reviews for various newspapers. After fleeing with her family to Lebanon following the nakba in 1948, she entered the field of radio broadcasting, working for numerous radio stations, alongside writing creatively, publishing two novels and four short story collections over the course of her career. She died in 1967. <br><b>Awards</b><br>",Palestine,Short Story Writer,Arabic,,,,,,,,
000a39,Muna Jabbur,,منى جبور,,,,"Muna Jabbur was a Lebanese novelist. She wrote two novels over the course of her career, focusing on the lived experiences of Arab women with particular attention drawn to the internalization of oppression, although Jabbur herself did not live to see the publication of her second novel; she committed suicide in 1964 at the age of 22 before the book saw the press. Still, Jabbur is celebrated as a pioneering force of Beirut’s literary culture in the 1960s.<br><b>Awards</b><br>",Lebanon,Novelist,Arabic,,,,,,,,
000a40,Nazira Zeineddine,Nazira Zain al-Din (Zeineddine),نظيرة زين الدين,,,,"Nazira Zeineddine was a Druze Lebanese scholar. Born in Istanbul, she studied at convent schools in Lebanon alongside receiving education in Islamic studies at home, and, following the completion of her education, began her writing career.  Zeineddine went on to publish numerous books on Islamic subjects, arguing against the oppression of women in the Arab world using excerpts from the Quran, Hadith, and Sharia to support her claims; despite this, her books caused a great deal of uproar among the clerical Muslim community and many were banned by many Islamic clergy leaders. Eventually, such pressure pushed Zeineddine to stop writing and settle down with her family in Baaqline. She died in 1976 at the age of 68. <br><b>Awards</b><br>",Lebanon,Non-Fiction Writer,Arabic|French,,,,,,,,
000a41,Fatina al-Na'ib (Suduf),Fatiha al-Na'ib|Saduf al-'Amiriya|Suduf al-'Ubaydiya,فاتنة النعيب,صدف العبيدية|صدف الأميرية,,,"Fatina al-Na'ib was an Iraqi poet. Born in Baghdad, she graduated from the Primary Teachers' Institute in 1937 and continued her studies in English at the College of Queen 'Aliya. Al-Na'ib went on to teach at the secondary-school level and work in educational management, although she also led a vibrant literary career; she wrote many poems over the course of her life, many of which were broadcast on Arab radio stations and published in the local press. She passed away in 1993. <br><b>Awards</b><br>",Iraq,Poet,Arabic,,,,,,,,
000a42,In`am Musalima,,إنعام مسالمة,,,,"In`am Musalima is a Syrian novelist and short-story writer. Born in the province of Dar'a, she received a medical degree from Damascus University in 1960 and continued her studies at the University of London. She worked as a surgeon in the Syrian countryside for several years, and began publishing in Syrian newspapers and magazines in the early 1960s. <br><b>Awards</b><br>",Syria,Novelist|Short Story Writer,Arabic,,,,,,,,
000a43,Jamila al-Alayili,Gamila El Alaily,جميلة العلايلي,,,,"Jamila al-Alayili was an Egyptian poet and novelist. Born in Mansoura, she began writing at a young age using a pen name, and also established the Writers of Arabism Association and al-Ahdaf magazine. Most notably, she became the first female member of the traditionally all-male Apollo Poet Society in the 1930s, and published regularly in the society’s journal. More broadly, Al-Alayili published many novels and poetry collections over the course of her career, focusing on feminist themes, the natural world, and ideas of self-expression and emotion. She passed away in 1991 at the age of 84. <br><b>Awards</b><br>",Egypt,Poet|Playwright|Novelist|Short Story Writer,Arabic,,,,,,,,
000a44,Salwa Mahmasani,,سلوى محمصاني,سلوى محمصاني مؤمنة,,,"Salwa Mahmasani was a Lebanese short-story writer. Born in Beirut, she studied Arabic literature at the St. Joseph School and taught Arabic at a school run by the al-Maqasid Islamic Charitable Association for thirteen years. Mahmasani also led a vibrant literary career, and published numerous articles focusing on contemporary literature in Arabic journals and newspapers. She was also the vice president of the Women of Lebanon Association. Mahmasani passed away in 1957. <br><b>Awards</b><br>",Egypt,Short Story Writer|Non-Fiction Writer,Arabic,,,,,,,,
000a45,Daisy al-Amir,,ديزي الأمير,,,,"Daisy al-Amir is an Iraqi writer, poet, and novelist. Born in Alexandria, she earned her BA from the Teachers’ Training College of Baghdad and was on track to study Arabic Literature at Cambridge University; however, her studies were halted when her father refused to pay her tuition, and she relocated to Beirut. She returned to Iraq in 1982 after the Israeli invasion of Lebanon, and went on to lead a vibrant literary career; her stories focus on the lived experiences of women during times of socioeconomic upheaval in the Arab world. She has published five books to date, and has earned renown as one of the foremost woman writers of Iraq. <br><b>Awards</b><br>",Iraq,Short Story Writer|Non-Fiction Writer,Arabic,,,,,,,,
000a46,Aisha Abdel Rahman,"Dr. Aisha Abdel Rahman, Dr. Aisha Abdel Rahman Bint El-Shatei', Aisha Abdel Rahman Bint El-Shatei'",عائشة عبدالرحمن - بنت الشاطئ,,,,"Aisha Abdel Rahman was an Egyptian writer and scholar. Born in Damietta, she began her education at the local school and showed an early interest in creative writing, although she faced pressure from her conservative-minded father to avoid any such pursuits; as such, she wrote under the pseudonym Bint El-Shatei so that her father would not know that she was writing in the press. Rahman went on to obtain her BA, MA, and PhD from Cairo University, and was appointed Professor of Arabic Literature at Ain Shams University. She published numerous books and articles over the course of her career, ranging from traditional literary criticism to Quranic exegesis and works of fiction; she died of a heart attack in Cairo in 1998 at the age of 85. <br><b>Awards</b><br>",Egypt,Literary Critic|Poet|Non-Fiction Writer,Arabic|English,,,,,,,,
000a47,Najiya Thamir,Najiya Thamir Bint al-Waha,ناجية ثامر,,,,"Najiya Thamir, also known as Bint al-Waha, was a Tunisian short-story writer. Born in Damascus, she received her primary education in Ba'labakk, Lebanon, and her secondary and university education in Damascus. She settled in Tunis after her marriage and worked in Tunisian radio as a producer of literary and social programs. She wrote essays, short stories, radio plays, and novels, and was a member of the Story Club, the Tunisian Writers' Union, and the New Pen Association. <br><b>Awards</b><br>",Tunisia|Syria|Turkey,Short Story Writer,Arabic,,,,,,,,
000a48,Venus Khoury-Ghata,,فينوس خوري غاتا,,,,"Vénus Khoury-Ghata is a Aramean French-Lebanese poet, translator and writer born in Bsharri.She emigrated to France to escape civil conflict in Lebanon.She has published numerous novels, poetry collections, and translations of Arabic works over the course of her career, and many of her works have won both domestic and international renown. <br><b>Awards</b><br>Guillaume Apollinaire Prize ,1980; Mallarmé Prize, 1987; SGDL Grand Prize for Poetry, 1993; Grand Prize for Poetry of the French Academy, 2009; Guillevic Grand Prize, 2010;
Goncourt Prize for Poetry, 2011; Pierrette-Micheloud Poetry Prize, 2012; Renaudot Pocket Book Prize, 2015; Geneviève Moll Biography Prize, 2017",Lebanon,Novelist|Translator|Poet,Arabic|English,,,,,,,,
000a49,Dalal Khalil Safadi,,دلال خليل صفدي,دلال خليل الصفدي,,,"Dalal Khalil Safadi is a Lebanese short-story writer. She has published both short story collections and translations of Arab works in the English language, and her work has been featured in English-language magazines and journals. <br><b>Awards</b><br>",Lebanon,Short Story Writer|Translator,English|Arabic,,,,,,,,
000a50,Assia Djebar,Fatima-Zohra Imalayen,آسيا جبار‎,,,,"Assia Djebar was an Algerian novelist and translator. Born Fatma Zohra Imalayen in Cherchell, she studied at France’s École normale supérieure de jeunes filles before attending the Sorbonne, where she completed her education. She adopted the pen name Assia Djebar when her first novel, La Soif, was published in 1957, marking the beginning of an illustrious literary career; Djebar went on to publish numerous other novels while holding appointments at various higher education institutions, including the University of Rabat, University of Algiers, and the Académie Française. Djebar earned a great deal of renown over the course of her career, and passed away in 2015 in Paris at the age of 78. <br><b>Awards</b><br>Franco-Arab Friendship Prize, 1985; Neustadt International Prize for Literature, 1996; Marguerite Yourcenar Prize, 1997; International Prize of Palmi, 1998; Peace Prize of the German Book Trade, 2000
",Algeria,Novelist|Filmmaker,French,,,,,,,,
000a51,Safinaz Kazim,,صافيناز كاظم,صافي ناز كاظم,,,"Safinaz Kazim is an Egyptian writer and journalist. Born in Alexandria, she received a BA in journalism from Cairo University in 1959 and MA in theater criticism from New York University in 1966. She has written many articles and essays over the course of her career, focusing on topics that range from traditional literary criticism to political commentary, and has had her work featured in numerous international publications. <br><b>Awards</b><br>",Egypt|United States,Journalist|Playwright,Arabic,,facebook,,,,,,
000a52,Nadia El Ghazzi,Nadia Al-Ghazzi,نادية الغزي,,,,"Nadia El Ghazzi is a Syrian lawyer, TV presenter, and writer. Born in Damascus, she studied national and international law at Damascus University and pursued a career in law for some time afterwards, championing the rights of disadvantaged women in Syria and the Arab world at large. However, her attention was eventually drawn to the field of TV and media, and went on to become one of the first women on the Syria TV channel, hosting independent shows and starring in various dramas. Al-Ghazzi has also led a vibrant literary career, and has written both books and articles for numerous Arab-language magazines. <br><b>Awards</b><br>",Syria,Novelist,Arabic,,,,,,,,
000a53,Nur Salman,,نور سلمان,,,,"Nur Salman is a Lebanese scholar, novelist, poet, and short-story writer. Born in Beirut, she earned her BA in Arabic literature from the Beirut College for Girls (later the American Lebanese University), MA in comparative literature from the American University of Beirut, and PhD in Arabic literature from St. Joseph University in Beirut. She currently works as a professor of Arabic literature at the Lebanese University. Salman has written numerous academic articles and books on the literatures and languages of the Arab world, alongside several creative works, including novels, poetry collections, and short story collections. <br><b>Awards</b><br>",Lebanon,Novelist|Poet|Short Story Writer,Arabic,,,,,,,,
000a54,Nawal Saadawi,Nawal ElSaadawi|Nawal El-Saadawi,نوال السعداوي,,,,"Nawal Saadawi was an Egyptian writer, activist, physician, and psychiatrist. Born in the village of Kafr Tahla, she studied medicine at Cairo University and earned her degree in the same, beginning her practice shortly after graduation. During the early years of her career, Saadawi was particularly cognizant of the physical and psychological trauma experienced by women as a result of oppressive cultural practices, patriarchy, and imperialism, and actively attempted to protect women from such harms through her activism on the ground as well as her political writings. Moreover, Saadawi founded the Arab Women's Solidarity Association and the Arab Association for Human Rights to further protect the disadvantaged from oppressive regimes. She herself experienced severe hardships as a result of such activism, having been imprisoned and eventually forced to flee Egypt in 1988; nonetheless, she persisted, and has been recognized by various international bodies for the impact of her important work. Saadawi eventually moved back to Egypt in 1994, and passed away in Cairo in 2021 at the age of 89. <br><b>Awards</b><br>North-South Prize by the Council of Europe, 2014; North–South Prize from the Council of Europe, 2004; Inana International Prize, 2005; Stig Dagerman Prize, 2011; Seán MacBride Peace Prize, 2012
",Egypt|United States,Playwright|Novelist|Short Story Writer|Memoirist|Non-Fiction Writer,Arabic|English,,,https://twitter.com/NawalElSaadawi1,twitter,,instagram,,
000a55,Enayat Al-Zayyat,,عنايات الزيات,,,,"Enayat al-Zayyat was an Egyptian novelist. Little detailed information is available about her personal life: she was born in Dokki and abandoned her education in 1955, instead getting married in 1956. However, her marriage soon crumbled and pushed al-Zayyat into a great deal of hardship. She is primarily known for her lone novel, Love and Silence, which received rave reviews from Egyptian critics and the general masses; unfortunately, al-Zayyat herself was not able to experience any such celebration of her work, as she committed suicide in 1963 prior to the novel’s publication at the hands of the writer Mustafa Mahmoud in 1967. <br><b>Awards</b><br>",Egypt,Novelist,Arabic,,,,,,,,
000a56,Andrée Chedid,Andree Chedid,أندريه شديد,,,,"Andrée Chedid was an Egyptian-French writer. Born in Cairo to a Lebanese Christian family, she studied at the American University in Cairo, graduating in 1942 and marrying shortly afterwards. She soon moved to Paris with her husband and established her literary career there, writing numerous poems, novels, plays, short story collections, and children’s stories over the course of her career; her writings have been awarded prizes by various international bodies and been translated into multiple different languages. Chedid passed away in Paris at the age of 90.<br><b>Awards</b><br>Louise Labe prize, 1966; Grand Prize of French Literature from the Royal Academy of Belgium, 1975; Mallarmé prize, 1976; Prix Goncourt de la Nouvelle, 1979; Prix Culture et Bibliothèques, 1989; Grand prix de poésie de la SGDL literary award, 1990; Gutenberg Prize, 1990; Grand prix de littérature Paul-Morand, 1994; Albert Camus Prize, 1996; Prix Louis-Guilloux, 2001; Prix Goncourt de la Poésie, 2002
",Lebanon|Egypt|France,Poet|Novelist,French,,,,,,,,
000a57,Maryam Mash'al,,مريم مشعل,,,,"Maryam Mash’al is a Palestinian writer. Little to nothing is known about her life, save for her publication of a lone novel while she was a student in the 1950s. Still, her novel is valuable for its glimpse into how a young Palestinian woman experiences dispossession, and is therefore an important piece in the literary cause for Palestinian liberation. <br><b>Awards</b><br>",Palestine,Novelist,Arabic,,,,,,,,
000a58,Alifa Rifa'at,Alifa Rifa'at|Fatimah Rifaat,أليفة رفعت‎,,,,"Alifa Rifa’at was an Egyptian writer. Born Fatimah Rifa’at in Cairo, she attended various educational institutions across Egypt and expressed an early interest in creative writing, but was unable to pursue higher education as her father married her off at an early age. Still, her husband allowed her to write and publish stories under the pen name Alifa Rifa’at, and she earned praise for her novels and short story collections, which focused on the taboo themes of female sexuality, relationships, and rural Egyptian life. She was an active member of the Federation of Egyptian Writers and also a common fixture at literary festivals. Rifa’at passed away in 1996 at the age of 65. <br><b>Awards</b><br>Excellency Award from the Modern Literature Assembly, 1984",Egypt,Short Story Writer|Novelist,Arabic,,,,,,,,
000a59,Widad Sakakini,Widād Sakākīnī,وداد سكاكيني,,,,"Widad Sakakini was a pioneering Lebanese-Syrian novelist, short-story writer, and critic born in Sidon. She was educated at the al-Maqasid Islamic College and taught at the Higher Institute for Girls before devoting herself to writing. Over the course of her life, she published numerous short story collections, essays, novels, and various pieces of literary criticism; she passed away in 1991. <br><b>Awards</b><br>",Lebanon|Syria,Novelist|Short Story Writer|Critic,Arabic,,,,,,,,
000a60,Fatma Moussa,Fatma Moussa Mahmoud,فاطمة موسى,فاطمة موسى محمود,,,"Fatma Moussa was an Egyptian academic, educator, and literary critic. Born in Cairo, she earned her PhD from Westfield College in London in 1957 before returning to Cairo University as a lecturer. She was eventually appointed head of the English Department at this same school. Over the course of her career, she published numerous articles, academic books, translations, and essays on aspects of English literature that related to Egypt and themes relevant to Arab cultures, earning widespread recognition for her elegant translations and succinct prose; she also studied contemporary Arab and Arabic literature. Moussa passed away in 2003, aged 80. <br><b>Awards</b><br>State Appreciation Award in Literature, 1997",Egypt|United Kingdom,Non-Fiction Writer|Literary Critic|Translator,English|Arabic,,,,,,,,
000a61,Wadida Wassef,,وديدة واصف,,,,"Wadida Wassef is an Egyptian writer. Born in Alexandria, she studied at the American Mission College in Cairo and later taught English language and literature at Al-Nasr Girls College. Following her marriage, she began to work as a translator, translating Egyptian short stories, drama, and essays into various other languages, and eventually became interested in creative writing as a profession. She went on to publish short stories in various anthologies in magazines. <br><b>Awards</b><br>",Egypt,Translator,Arabic|French|Italian,,,,,,,,
000a62,Fadwa Tuqan,,فدوى طوقان,,,,"Fadwa Tuqan was a Palestinian poet. Born in Nablus, she was forced to abandon school at the age of 13 due to illness; from that point onwards, she received homeschooling from her brother, Ibrahim Tuqan, who introduced her to poetry and creative writing. Her passion for the field eventually led her to study English language and literature at the University of Oxford, and Tuqan went on to write numerous poetry collections that have been translated into multiple languages internationally. Her poetry championed the Palestinian cause against Israeli opposition, and earned Tuqan renown as the “Poet of Palestine” and one of the most prolific figures of modern Arabic literature. She passed away in 2003 in her hometown of Nablus. <br><b>Awards</b><br>",Palestine|United Kingdom,Poet,Arabic,,,,,,,,
000a63,Asma Halim,,أسماء حليم,أسمى حليم,,,"Asma Halim was an Egyptian writer. She obtained a BA in English from Cairo University in 1941 and an advanced degree in editing, translation, and journalism from the same institution in 1943. She worked as a teacher for the Ministry of Education for many years and, more prominently, as a translator, translating numerous controversial political works into Arabic over the course of her career. For such work, she was arrested and remained in detention for five years, from 1959 to 1964. Halim passed away in 2003. <br><b>Awards</b><br>",Egypt,Translator|Journalist|Novelist|Short Story Writer,Arabic,,,,,,,,
000a64,Etel Adnan,,إيتيل عدنان,,,,"Etel Adnan is a Syrian-American poet, essayist, and visual artist. Born in Beirut, she completed her undergraduate studies at the University of Paris before travelling to the United States, where she completed her graduate studies at the University of California, Berkeley and Harvard University. She went on to teach the philosophy of art at the Dominican University of California in San Rafael from 1959 to 1972. During this time, Adnan also began to work as a poet, and has published eight poetry collections to date. She eventually returned to Beirut and worked as a journalist and newspaper editor for a time before moving to Paris, where she is currently based. Adnan has also earned renown as a visual artist, and her work has been featured at various international exhibitions. <br><b>Awards</b><br>Awarded the France-Pays Arabes award, 1997; Arab American Book Award, 2010; California Book Award for Poetry, 2013; Awarded the Lambda Literary Award, 2013; Griffin Poetry Prize, 2020",Lebanon|Syria,Novelist|Poet|Essayist,English|French|Arabic,,,,,,,,
000a65,Liana Badr,,ليانا بدر,ليانة بدر,,,"Liana Badr is a Palestinian writer. Born in Jerusalem and raised in Jericho, she earned her BA from the Beirut Arab University and MA from Birzeit University, and has led an illustrious literary career; she has published numerous novels, short story collections, children’s books, poetry collections, and articles in various international publications. Many of her works have been translated into various languages. Badr also works as a volunteer in Palestinian women’s organizations. <br><b>Awards</b><br>",Palestine,Screenwriter|Children's Writer|Non-Fiction Writer,Arabic,,,,,,,,
000a66,Ines Abassi,Ines Al Abbasi,إيناس العباسي,,,,"Ines Abassi is a Tunisian poet, writer and journalist. She has published numerous poetry collections and narratives, many of which have been translated into various languages and published on international platforms. Additionally, Abassi has written articles for various Arabic-language magazines and newspapers, including Al Etihad, Al Arab, and Al Watan. She has won prizes and renown for her work across the Arab world. <br><b>Awards</b><br>Tunisian Poetry Prize, 2004; CREDIF prize, 2007; The Golden Kumar Liteary Award, 2018",Tunisia,Journalist|Poet|Translator|Children's Writer|Short Story Writer|Novelist,Arabic,,,https://twitter.com/mornninglight,twitter,https://instagram.com/inasabassi_,instagram,,
000a83,Maryam Al Ghafli,,مريم الغافلي,,,,"Maryam Al Ghafli is an Emirati author who has published two fiction books. She has a vested interest in the history and heritage of the UAE, and, as such, her writing features distinct themes related to the culture and life of the UAE. Most notably, she often uses Emirati slang words in her writing to preserve such colloquialisms. <br><b>Awards</b><br>",United Arab Emirates,Novelist,Arabic,,,,,,,,
000a84,Leena Krediyah,,لينة كريدية,لينا كريدية,,,"Leena Krediya is a Lebanese writer and publisher. She graduated with a BA in Design and Fine Arts from the Lebanese American University in Beirut. She has worked as the general manager of the Arab Renaissance House since 2000. In 2006, she launched a poetry project that focused on modern Arabic poetry and prose.                                                                   <br><b>Awards</b><br>",Lebanon,Novelist,Arabic,,,,,,,,
000a85,Ghada Abdel Aal,,غادة عبدالعال,,,,"Ghada Abdel Aal is an Egyptian writer. Born in El Mahalla El Kubra, she studied pharmaceutical studies at the college level and initially worked as a pharmacist in Cairo. In 2006, upon encountering a variety of marriage proposals, she began a blog I Wanna Get Married, satirising the experiences of Egyptian women whom society expects only to marry and have children. As the blog became popular, she was eventually approached by a publishing house to convert it into a book; the eponymous book became a bestseller in the Arab world. Aal has since written a screenplay for the book, and has gone on to write screenplays for other Arabic-language media productions. <br><b>Awards</b><br>Bauer Prize, 2012",Egypt,Novelist|Blogger,Arabic,,facebook,https://twitter.com/ghadaabdelaal,twitter,https://instagram.com/ghada.abdelaa,instagram,,
000a86,Nujoom Al Ghanem,Nujoom Nasser Al Ghanem,نجوم الغانم,نجوم ناصر الغانم,,,"Nujoom al-Ghanem is an Emirati writer, artist, and filmmaker. Born and raised in Dubai, she earned her BA in video production from Ohio University in 1996 MA in film production from Australia’s Griffith University in Australia in 1999. However, her professional career started much earlier; in 1980, she began working as a journalist for various Emirati newspapers, and also published some of her poetry in such newspapers. To date, she has published eight poetry collections, although she is primarily known for her numerous films, which have earned renown both domestically and internationally. <br><b>Awards</b><br>Best Feature Documentary of April, Los Angeles Film Awards, 2018; Best Experimental Feature Documentary, Portoviejo Film Festival, Ecuador, 2018; Best Female Director, London Independent Film Awards, London, 2018; Best Feature Documentary, Ismailia International Film Festival, Egypt, 2018; Best Feature Documentary, Dubai International Film Festival, Emirati Muhr, Dubai, 2017; First Prize, Al Owais Creative Award, The Cultural & Scientific Association, Dubai, 2017; Best Non-Fiction Film, Dubai International Film Festival, Dubai, 2014; Best Documentary, GCC Film Festival, Abu Dhabi, 2016; Best Short Documentary, Al Owais Creative Award, The Cultural & Scientific Association, Dubai, 2014; First Prize, GCC Film Festival, Kuwait, 2013; First Prize, Dubai International Film Festival, 2011; Best Director, GCC Film Festival, 2012; First Prize, Baghdad International Film Festival, Arab Women Directors' Competition, 2011; First Prize, Malmo Film Festival, Sweden, 2011; First Prize, Gulf Film Festival, 2011; Best Feature Documentary in the Gulf, 2008; Most Promising UAE Filmmaker Award, 2008.
",United Arab Emirates,Poet,Arabic,https://www.youtube.com/channel/UCwldQQA4WHdwOZUhDqMhdqQ,facebook,https://twitter.com/NujoomAlghanem,twitter,https://instagram.com/nujoomalghanem,instagram,https://www.youtube.com/channel/UCwldQQA4WHdwOZUhDqMhdqQ,youtube
000a87,Hind Labdag,,هند لبدج,,,,"Hind Labdag is a Moroccan writer and lawyer. Aside from her studies in law, she is passionate about writing short stories and articles exploring philosophical and psychological themes, and also has a seasonal column in Al Noubough Magazine, of which she is a publishing committee member. She is a member of the Syndicate of Moroccan Writers and Researchers.<br><b>Awards</b><br>",Morocco,Short Story Writer|Columnist,French|Arabic,,,,,,,,
000a88,Basma Abdel Aziz,,بسمة عبدالعزيز,,,,"Basma Abdel Aziz is an Egyptian writer, psychiatrist, visual artist, and activist. Born in Cairo, she has a BA in medicine and surgery and MSc in neuropsychiatry from Ain Shams University, as well as a diploma in sociology from the Institute of Arab Research and Studies. She works for the General Secretariat of Mental Health in Egypt's Ministry of Health and the Nadeem Center for the Rehabilitation of Victims of Torture, and is particularly dedicated towards the cause of victims of state violence. Aziz has written a number of academic books, studies, and articles on similar subjects, alongside leading a prolific creative career; she has written multiple short story collections and also works as a visual artist, having held several private exhibitions over the course of her career. <br><b>Awards</b><br>",Egypt,Short Story Writer,Arabic,,facebook,,,,,,
000a89,Faiza Guene,Faïza Guène,فايزة غوين,فايزة جوين,,,"Faïza Guène is a French writer and director. Born in Bobigny to parents of Algerian origin, she grew up in Pantin and began studies in sociology at Université Paris VIII before abandoning them to pursue writing and directing full-time. She has published numerous books to date, alongside writing regularly for New York-based Respect magazine and directing several short films. <br><b>Awards</b><br>",France|Algeria,Novelist,French,,facebook,,,https://instagram.com/faiza.guene,,,
